Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Price [สุเมธค้าข้าว สาขาวัดดอนกระถิน],In stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Low stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน]
...,10689,...,,,N,,,,,,,0.00,,,,N,Y,variable,,
107,10292,107,อาหารสัตว์,,N,,,,,,,0.00,107,,,N,Y,500.00,,
114-1,10386,114,,,N,,,,,,,0.00,,,,N,Y,520.00,,
114-2,10894,114,,,N,,,,,,,0.00,,,,N,Y,variable,,
285(กลม),10515,285(กลม),,,N,,,,,,,0.00,,,,N,Y,260.00,,
285(ลัง),10516,285(ลัง),,,N,,,,,,,0.00,,,,N,Y,3120.00,,
30ไชยา,10048,30ไชยา,เครื่องดื่ม,,N,,,,,,,0.00,30ช,,,N,Y,800.00,,
35ล.,10413,35ล.,,,N,,,,,,,0.00,,,,N,Y,1300.00,,
35ไชยา,10047,35ไชยา,เครื่องดื่ม,,N,,,,,,,0.00,35ช,,,N,Y,860.00,,
4มงกุฎ(15กก),10461,4มงกุฎ(15กก),,,N,,,,,,,0.00,,,,N,Y,605.00,,
4มงกุฎ40กกเขียวใหม่,10621,4มงกุฎ(40kg),,,N,,,,,,,0.00,,,,N,Y,1610.00,,
4มงกุฎ(5กก),10355,4มงกุฎ(5กก),ยกมัด(5M),,N,,,,,,,0.00,,,,N,Y,2050.00,,
4มงกุฎ40กก(น้ำเงิน)เก่า,10623,4มงกุฎ40กก(น้ำเงิน)เก่า,,,N,,,,,,,0.00,,,,N,Y,variable,,
4มงกุฎ5กก,10763,4มงกุฎ5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
4มงกุฏ(40กก),10354,4มงกุฏ(40กก),ใหญ่40M,,N,,,,,,,0.00,,,,N,Y,variable,,
9920,10889,9920,,,N,,,,,,,0.00,,,,N,Y,variable,,
9922,10274,9920 ดุกเล็ก,อาหารสัตว์,,N,,,,,,,0.00,9920,,,N,Y,520.00,,
9921-1,10890,9921,,,N,,,,,,,0.00,,,,N,Y,variable,,
9921,10275,9921 ดุกกลาง,อาหารสัตว์,,N,,,,,,,0.00,9921,,,N,Y,500.00,,
9922-2,10891,9922,,,N,,,,,,,0.00,,,,N,Y,variable,,
9922-1,10276,9922 ดุกใหญ่,อาหารสัตว์,,N,,,,,,,0.00,9922,,,N,Y,480.00,,
9931,10329,9931 กินพืชเล็ก,อาหารสัตว์,,N,,,,,,,0.00,9931,,,N,Y,420.00,,
9933,11000,9933,,,N,,,,,,,0.00,,,,N,Y,variable,,
9933.,10408,9933. กินพืชใหญ่,,,N,,,,,,,0.00,,,,N,Y,380.00,,
a+-1,10688,A+,,,N,,,,,,,0.00,,,,N,Y,variable,,
a+-ขวดเล็ก,10352,A+ ขวด(ปลีก),บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,,,,N,Y,60.00,,
a+,10233,A+(10ขวด),เครื่องดื่ม,,N,,,,,,,0.00,A+,,,N,Y,500.00,,
a+(ขวดเล็ก),10478,A+(ขวดเล็ก),,,N,,,,,,,0.00,,,,N,Y,250.00,,
a+ลัง-1,10430,A+ลัง,,,N,,,,,,,0.00,,,,N,Y,2400.00,,
l.mเล็ก,10056,L.Mเขียวเล็ก,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,LMล,,,N,Y,680.00,,
lmแดง,10888,Lmแดง,,,N,,,,,,,0.00,,,,N,Y,variable,,
lmแดงเล็ก,10331,Lmแดงเล็ก,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,Lm,,,Y,Y,680.00,-239.000,0.000
m-150,10026,M-150,เครื่องดื่ม,,N,,,,,,,0.00,M150,,,N,Y,510.00,,
m-150แพค,10302,M-150แพค,เครื่องดื่ม,,N,,,,,,,0.00,,,,N,Y,105.00,,
rqขาวเล็ก,10131,RQขาวเล็ก,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ขล,,,N,Y,140.00,,
smsเขียว,10332,Smsเขียว,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,,,,N,Y,660.00,,
sms,10058,SMSแดง,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,Sms,,,N,Y,660.00,,
zoi-cat,11002,Zoi cat,,,N,,,,,,,0.00,,,,N,Y,variable,,
ก.ไก่14กก,11012,ก.ไก่14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ก.ไก่40กก,10767,ก.ไก่40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ก.ไก่5กก,10974,ก.ไก่5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กข2,10293,กข2,อาหารสัตว์,,N,,,,,,,0.00,กข,,,N,Y,520.00,,
กข43,10470,กข43,,,N,,,,,,,0.00,,,,N,Y,205.00,,
กข43-2,11026,กข43,,,N,,,,,,,0.00,,,,N,Y,variable,,
กรองทิพย์เล็ก,10061,กรองทิพย์เล็ก,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,กทล,,,N,Y,660.00,,
กรองทิพย์ใหญ่,10059,กรองทิพย์ใหญ่,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,กท,,,N,Y,980.00,,
กระต่าย(15m),10213,กระต่าย(15M),กระสอบถัง,,N,,,,,,,0.00,กต15,,,N,Y,380.00,,
กระต่าย(5m),10201,กระต่าย(40กก),ยกมัด(5M),,N,,,,,,,0.00,กต5,,,N,Y,variable,,
กระต่าย(ใหญ่),10226,กระต่าย(ใหญ่),,,N,,,,,,,0.00,กต40,,,N,Y,960.00,,
ต่าย15กก,10571,กระต่าย15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กระต่าย40กก-1,10671,กระต่าย15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กระต่าย40กก,10628,กระต่าย40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
กระต่ายปลีก(5m),10299,กระต่ายถุง(5M),ปลีก(1/5M),,N,,,,,,,0.00,,,,N,Y,variable,,
กรุงทอง,10060,กรุงทอง,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,กท90,,,N,Y,980.00,,
กล้วย,10241,กล้วย,เครื่องดื่ม,,N,,,,,,,0.00,กข,,,N,Y,520.00,,
กวาง(5m),10200,กวาง(5M),ยกมัด(5M),,N,,,,,,,0.00,ก5,,,N,Y,1180.00,,
กวางปลีก(5m),10250,กวาง(5M),ปลีก(1/5M),,N,,,,,,,0.00,กป5,,,N,Y,120.00,,
